REAL,ESTIMATE
37.000000,27.163146
51.000000,37.127950
59.000000,50.482573
52.000000,52.303961
45.000000,51.357815
45.000000,42.505186
45.000000,42.546616
52.000000,51.983930
62.000000,45.436247
61.000000,55.227693
61.000000,56.532379
66.000000,60.918204
68.000000,64.844085
66.000000,69.185108
64.000000,62.750879
57.000000,60.819903
56.000000,54.446447
45.000000,51.986448
47.000000,44.323083
45.333333,47.092618
43.666667,47.596624
42.000000,45.722216
36.000000,44.655606
40.000000,38.396468
38.000000,41.971183
24.000000,39.638180
41.000000,27.812245
33.000000,41.562209
38.000000,35.171209
36.000000,39.810232
33.000000,37.550853
35.000000,35.328089
24.000000,36.430434
30.000000,27.638008
28.000000,32.019710
39.000000,29.169156
32.000000,38.222442
34.000000,32.468013
33.000000,34.850102
39.000000,33.541855
35.000000,38.430470
34.000000,35.367035
48.000000,34.006945
41.000000,45.972245
29.000000,39.257961
31.000000,31.245108
29.000000,32.255686
32.000000,31.438322
33.000000,33.815563
26.000000,34.841458
41.000000,28.858472
44.000000,40.416814
42.000000,45.018317
39.000000,42.740837
38.000000,39.820367
38.000000,38.770427
36.000000,38.587770
48.000000,36.504246
44.000000,48.524456
45.000000,44.450956
47.000000,46.864035
60.000000,49.706690
80.000000,62.575565
95.000000,83.061208
75.000000,103.957193
65.000000,79.513726
68.000000,65.393983
57.000000,70.761643
60.000000,57.334857
61.000000,63.017159
65.000000,61.614170
59.000000,64.662242
66.000000,57.857487
66.000000,63.631353
83.000000,67.489088
76.000000,84.813346
76.000000,77.854442
78.000000,81.701399
76.000000,83.046720
74.000000,78.635397
83.000000,73.676361
68.000000,83.330482
80.000000,66.614895
82.000000,79.983547
88.000000,83.038785
124.000000,87.887414
127.000000,128.708505
126.000000,130.598036
120.000000,130.538179
70.000000,121.273225
65.000000,67.716349
66.000000,62.231043
53.000000,65.136310
56.000000,53.444760
55.000000,56.290908
53.000000,54.750767
69.000000,54.132909
74.000000,67.611541
69.000000,72.850111
66.000000,68.313835
69.000000,64.719721
66.000000,68.047088
68.000000,63.509965
76.000000,66.432861
75.000000,72.480208
93.000000,70.735926
79.000000,88.313109
78.000000,76.140140
85.000000,77.655621
82.000000,84.945156
93.000000,81.469383
108.000000,91.476401
92.000000,105.502784
82.000000,88.011185
88.000000,77.972121
80.000000,85.728481
52.000000,75.961640
66.000000,50.186942
62.000000,60.887480
59.000000,59.510707
64.000000,58.488691
81.000000,63.425984
87.000000,80.787009
84.000000,85.823882
76.000000,85.226019
75.000000,75.205946
74.000000,71.206039
74.000000,68.792802
58.000000,70.070897
50.000000,54.470458
55.000000,49.297482
63.000000,55.503839
47.000000,63.430964
50.000000,50.612499
46.000000,52.405294
