E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
8,4,0.7,5,0.804163,0.508577,0.000761,0.001477
8,4,0.7,6,0.804941,0.512289,0.000759,0.001471
8,4,0.7,7,0.845095,0.781058,0.000677,0.000986
8,4,0.7,8,0.843427,0.676628,0.000680,0.001198
8,4,0.7,9,0.849006,0.703779,0.000668,0.001146
8,4,0.7,10,0.848362,0.750702,0.000670,0.001052
8,4,0.7,11,0.843302,0.736381,0.000681,0.001082
8,4,0.7,12,0.853819,0.714994,0.000657,0.001125
8,4,0.8,5,0.822404,0.466466,0.000752,0.001550
8,4,0.8,6,0.831950,0.476044,0.000731,0.001536
8,4,0.8,7,0.840644,0.693192,0.000712,0.001176
8,4,0.8,8,0.768621,0.283675,0.000858,0.001796
8,4,0.8,9,0.795325,0.414444,0.000807,0.001624
8,4,0.8,10,0.779898,0.254778,0.000837,0.001832
8,4,0.8,11,0.840049,0.565630,0.000713,0.001399
8,4,0.8,12,0.846352,0.637767,0.000699,0.001277
8,4,0.9,5,-0.553373,-1.810178,0.002424,0.003423
8,4,0.9,6,0.792454,0.661003,0.000886,0.001189
8,4,0.9,7,0.834472,0.651756,0.000791,0.001205
8,4,0.9,8,0.735118,0.518969,0.001001,0.001416
8,4,0.9,9,0.845790,0.705647,0.000764,0.001108
8,4,0.9,10,0.840613,0.687855,0.000777,0.001141
8,4,0.9,11,0.815252,0.655674,0.000836,0.001198
8,4,0.9,12,0.834584,0.653007,0.000791,0.001203
