E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.7,5,0.492537,0.138775,0.008530,0.010972
10,7,0.7,6,0.521326,0.149188,0.008285,0.010906
10,7,0.7,7,0.521401,0.153887,0.008284,0.010876
10,7,0.7,8,0.530383,0.111051,0.008206,0.011148
10,7,0.7,9,0.558816,0.118216,0.007954,0.011103
10,7,0.7,10,0.567452,0.138428,0.007876,0.010975
10,7,0.7,11,0.563886,0.141865,0.007908,0.010953
10,7,0.7,12,0.606572,-0.147735,0.007511,0.012667
10,7,0.8,5,0.477023,0.221250,0.008855,0.012088
10,7,0.8,6,0.501804,0.241412,0.008642,0.011931
10,7,0.8,7,0.509153,0.221896,0.008578,0.012083
10,7,0.8,8,0.511635,0.213220,0.008557,0.012151
10,7,0.8,9,0.519756,0.218115,0.008485,0.012113
10,7,0.8,10,0.538231,0.211554,0.008320,0.012163
10,7,0.8,11,0.554113,0.156682,0.008176,0.012580
10,7,0.8,12,0.594587,0.095705,0.007796,0.013026
10,7,0.9,5,0.457262,0.116803,0.009533,0.013850
10,7,0.9,6,0.461814,0.107313,0.009493,0.013924
10,7,0.9,7,0.458933,0.108751,0.009518,0.013913
10,7,0.9,8,0.500919,0.012571,0.009141,0.014645
10,7,0.9,9,0.537160,0.025406,0.008803,0.014549
10,7,0.9,10,0.541557,0.030704,0.008761,0.014510
10,7,0.9,11,0.543125,-0.018278,0.008746,0.014872
10,7,0.9,12,0.552729,0.051452,0.008654,0.014353
