E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
6,1,0.7,6,0.765290,0.722992,5.270865,6.923504
6,1,0.7,7,0.801892,0.767390,4.842467,6.344447
6,1,0.7,8,0.808849,0.774599,4.756675,6.245354
6,1,0.7,9,0.808263,0.774045,4.763962,6.253025
6,1,0.7,10,0.808891,0.773419,4.756162,6.261683
6,1,0.8,6,0.758167,0.733678,5.732083,6.768027
6,1,0.8,7,0.795546,0.779058,5.270506,6.164490
6,1,0.8,8,0.782978,0.769747,5.430086,6.293044
6,1,0.8,9,0.798918,0.784836,5.226855,6.083356
6,1,0.8,10,0.797770,0.783290,5.241763,6.105167
