E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.4,3,0.572168,0.297834,0.000650,0.001110
10,3,0.4,4,0.619541,0.333014,0.000613,0.001082
10,3,0.4,5,0.686015,0.298921,0.000557,0.001109
10,3,0.4,6,0.706880,0.284743,0.000538,0.001120
10,3,0.4,7,0.719435,0.296704,0.000526,0.001111
10,3,0.4,8,0.729770,0.319615,0.000516,0.001093
10,3,0.4,9,0.760905,0.300884,0.000486,0.001108
10,3,0.4,10,0.742200,-0.031505,0.000504,0.001346
10,3,0.5,3,0.501519,0.363933,0.000762,0.001025
10,3,0.5,4,0.554686,0.402108,0.000721,0.000994
10,3,0.5,5,0.615976,0.364349,0.000669,0.001025
10,3,0.5,6,0.632529,0.347695,0.000655,0.001038
10,3,0.5,7,0.686496,0.330676,0.000605,0.001052
10,3,0.5,8,0.718843,0.326080,0.000573,0.001055
10,3,0.5,9,-0.160244,-1.667661,0.001163,0.002100
10,3,0.5,10,0.375410,-1.073144,0.000854,0.001851
10,3,0.6,3,0.464814,0.217217,0.000883,0.000866
10,3,0.6,4,0.515025,0.238427,0.000840,0.000854
10,3,0.6,5,0.550174,0.275106,0.000809,0.000833
10,3,0.6,6,0.557977,0.273601,0.000802,0.000834
10,3,0.6,7,0.609560,0.286256,0.000754,0.000827
10,3,0.6,8,0.642269,0.246001,0.000722,0.000850
10,3,0.6,9,-0.529642,-2.405564,0.001493,0.001806
10,3,0.6,10,-0.088437,-1.197167,0.001259,0.001451
