REAL,ESTIMATE
0.006667,0.004891
0.004958,0.002865
0.004500,0.004032
0.004604,0.005044
0.004583,0.003613
0.004333,0.002252
0.006458,0.005242
0.005792,0.006163
0.004500,0.007142
0.003875,0.003168
0.003833,0.004678
0.004042,0.003254
0.003792,0.003229
0.004125,0.002273
0.004417,0.003686
0.004000,0.003234
0.004792,0.003380
0.007125,0.004955
0.009500,0.007549
0.004375,0.005438
0.004500,0.003255
0.007542,0.006534
0.007125,0.010882
0.008542,0.007614
0.009125,0.008728
0.013250,0.012978
0.013208,0.011575
0.009750,0.008864
0.009500,0.007103
0.009083,0.011233
0.009792,0.005870
0.005208,0.003756
0.009708,0.006199
0.011057,0.009343
0.006214,0.006264
0.005500,0.005308
0.005125,0.006388
0.006250,0.003877
0.005250,0.002798
0.005375,0.003679
0.007125,0.003838
0.006542,0.006386
0.006006,0.006468
0.006661,0.006613
0.007917,0.003892
0.008792,0.008827
0.005958,0.003944
0.005667,0.000771
0.005792,0.000778
0.005958,0.004900
0.004458,0.005756
0.007375,0.007748
0.009208,0.009125
0.007417,0.007039
0.006042,0.005686
0.006500,0.004079
0.008458,0.006903
0.008125,0.006453
0.005958,0.005813
0.004375,0.004388
0.005500,0.004260
0.006042,0.002915
0.006875,0.005467
0.006375,0.003431
0.004292,0.005638
0.004833,0.004556
0.004375,0.003421
0.007208,0.004234
0.006458,0.006218
0.005417,0.003856
0.005500,0.004539
0.006792,0.005510
0.006792,0.003832
0.006542,0.006771
0.007042,0.006494
0.008083,0.005642
0.010104,0.005986
0.007208,0.005009
0.005458,0.005632
0.004667,0.007862
0.005083,0.002906
0.006458,0.004235
0.007250,0.005361
0.009167,0.007774
0.008625,0.010345
0.006875,0.006633
0.006917,0.004770
0.004958,0.004972
0.004125,0.004270
0.003958,0.003938
0.004333,0.003677
0.006125,0.003681
0.007500,0.003827
0.005000,0.004116
0.006208,0.007072
0.005042,0.004467
0.006208,0.004336
0.006542,0.006307
0.004708,0.005245
0.006375,0.003695
0.005542,0.005544
