E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
9,9,0.4,3,0.561683,0.448553,0.000556,0.001074
9,9,0.4,4,0.583832,0.449041,0.000541,0.001074
9,9,0.4,5,0.748828,0.525051,0.000421,0.000997
9,9,0.4,6,0.762527,0.485249,0.000409,0.001038
9,9,0.4,7,0.789562,0.413059,0.000385,0.001108
9,9,0.4,8,0.789551,0.370471,0.000385,0.001148
9,9,0.4,9,0.813779,0.277837,0.000362,0.001229
9,9,0.4,10,0.828549,0.151683,0.000347,0.001332
9,9,0.5,3,0.614462,0.445924,0.000661,0.000990
9,9,0.5,4,0.637708,0.443284,0.000641,0.000992
9,9,0.5,5,0.688501,0.455723,0.000594,0.000981
9,9,0.5,6,0.712591,0.405123,0.000571,0.001026
9,9,0.5,7,0.771765,0.476222,0.000509,0.000963
9,9,0.5,8,0.778850,0.306686,0.000501,0.001107
9,9,0.5,9,0.388490,-0.529771,0.000833,0.001645
9,9,0.5,10,0.706222,0.419094,0.000577,0.001014
9,9,0.6,3,0.632323,0.124250,0.000768,0.000767
9,9,0.6,4,0.410049,-0.233352,0.000973,0.000910
9,9,0.6,5,0.658213,0.237864,0.000740,0.000715
9,9,0.6,6,-2.744292,-35.695878,0.002450,0.004963
9,9,0.6,7,0.687843,0.169735,0.000708,0.000747
9,9,0.6,8,0.684901,0.312294,0.000711,0.000679
9,9,0.6,9,0.625133,0.207229,0.000775,0.000729
9,9,0.6,10,0.357215,-0.925399,0.001015,0.001137
