REAL,ESTIMATE
0.008542,0.008604
0.006208,0.005911
0.005750,0.004639
0.005375,0.004961
0.004792,0.005886
0.004583,0.004778
0.007292,0.006424
0.008625,0.008641
0.007458,0.007585
0.005833,0.006921
0.006375,0.005734
0.007875,0.006966
0.007792,0.007158
0.005542,0.006091
0.004042,0.003862
0.004958,0.003805
0.005458,0.005499
0.005917,0.005398
0.005667,0.005867
0.003958,0.004383
0.004292,0.004706
0.004375,0.005344
0.007583,0.005626
0.005917,0.005842
0.005375,0.006122
0.005667,0.005487
0.006292,0.006253
0.006083,0.005894
0.005292,0.005584
0.005958,0.005756
0.006208,0.006722
0.008708,0.007660
0.006792,0.006557
0.004417,0.005488
0.003917,0.003677
0.004542,0.004492
0.005458,0.004845
0.005479,0.005279
0.007708,0.007151
0.007667,0.007258
0.005750,0.006358
0.005875,0.005834
0.003958,0.004730
0.003083,0.004081
0.003083,0.003787
0.003583,0.004192
0.005417,0.005022
0.005708,0.005379
0.004042,0.004065
0.005167,0.005193
0.003708,0.004411
0.004917,0.004579
0.004625,0.005055
0.003125,0.003418
0.004042,0.002843
0.003167,0.003419
0.003208,0.004012
0.004375,0.004786
0.007208,0.006161
0.008917,0.007858
0.004167,0.004388
0.006208,0.005871
0.006292,0.005330
0.005167,0.005162
0.005833,0.005269
0.004375,0.004268
0.003833,0.004496
0.004458,0.003904
0.004542,0.004651
0.004792,0.005125
0.004208,0.004309
0.004042,0.004447
0.007125,0.007019
0.005625,0.005935
0.006958,0.005675
0.006583,0.006805
0.006292,0.005946
0.005250,0.006174
0.004208,0.005439
0.003292,0.004011
0.002917,0.003302
0.002792,0.003218
0.003042,0.002467
0.004167,0.003230
0.004167,0.004328
0.003708,0.003420
0.003500,0.003182
0.002958,0.003067
0.003042,0.002552
0.003292,0.003116
0.004208,0.003422
0.004417,0.003741
0.004167,0.004030
0.004958,0.004356
0.003542,0.004316
0.003583,0.003999
0.003208,0.003624
0.003000,0.002915
0.003000,0.003260
0.003125,0.003244
0.003583,0.003915
0.004042,0.003709
0.004042,0.004274
0.003208,0.004638
0.003708,0.003986
0.003833,0.004284
0.004583,0.003566
0.004458,0.004145
0.005083,0.003905
0.003042,0.004036
0.003125,0.003241
0.003708,0.003701
0.003417,0.003235
0.003375,0.003695
0.003708,0.003769
0.003042,0.003406
0.003125,0.003671
0.005875,0.004859
0.005042,0.005043
0.003917,0.004396
0.004083,0.003707
0.003583,0.003326
0.003750,0.003538
0.003625,0.003603
0.003667,0.003574
0.004042,0.003251
0.003208,0.003434
0.004667,0.003613
0.004125,0.004619
0.003042,0.004335
0.003000,0.003229
0.003042,0.003224
0.003042,0.003019
0.003417,0.003196
0.003333,0.003590
0.003458,0.003679
0.003125,0.003774
0.003417,0.003488
0.002958,0.003307
0.003000,0.002460
0.003000,0.002978
0.002833,0.002937
0.003917,0.002983
0.003667,0.003574
0.003167,0.003430
0.002875,0.003219
0.002958,0.003105
0.002958,0.003104
0.003000,0.003100
0.003875,0.003050
0.004167,0.003618
0.002958,0.003777
0.002958,0.003426
0.003625,0.003279
0.002917,0.003299
0.002648,0.002862
0.002727,0.002802
0.002833,0.002794
0.002708,0.003046
0.004083,0.003277
0.004167,0.004481
0.003500,0.003936
0.002958,0.003483
0.002625,0.003304
0.002667,0.002868
0.003000,0.002809
0.003167,0.003049
0.002833,0.003275
0.003000,0.002885
0.002917,0.003366
0.002875,0.003225
0.002833,0.003004
0.003083,0.002880
0.003750,0.003295
0.004333,0.003518
0.003333,0.003912
0.003375,0.003557
0.003750,0.003562
0.003125,0.003620
0.003083,0.003034
0.003000,0.003121
0.002875,0.003104
0.003125,0.003096
0.003417,0.003689
0.004000,0.003865
0.004333,0.003760
0.003000,0.003856
0.003083,0.003411
0.003083,0.003347
0.003792,0.003262
0.003167,0.003268
0.003000,0.003005
0.002917,0.003088
0.003083,0.003160
0.003000,0.003747
0.003333,0.003737
0.003333,0.003221
0.002958,0.003310
0.002792,0.003171
0.003042,0.003384
0.004167,0.003226
0.004000,0.003781
0.003208,0.003835
0.003167,0.003272
0.003250,0.003338
0.004000,0.003848
0.003958,0.003811
0.003875,0.003649
0.003458,0.003535
0.003083,0.003363
0.003458,0.003629
0.003208,0.003767
0.003333,0.003493
0.004500,0.003475
0.004000,0.004013
0.004458,0.004424
0.004750,0.004558
0.004375,0.004669
0.003583,0.004076
0.003250,0.003393
0.003042,0.003357
0.003792,0.003239
0.004417,0.003591
0.004792,0.004513
0.004333,0.004432
0.003958,0.004396
0.004125,0.004191
0.004542,0.004524
0.005167,0.004859
0.004667,0.004970
0.004167,0.004168
0.004458,0.004322
0.004542,0.004413
0.004750,0.004776
0.005333,0.004733
0.006500,0.004854
0.005958,0.005152
0.005958,0.005194
0.005833,0.005661
0.005375,0.005695
0.005667,0.005253
0.005125,0.005336
0.003958,0.004898
0.005667,0.004353
0.005583,0.005978
0.007000,0.006221
0.005458,0.006088
0.004792,0.005182
0.005417,0.005011
0.006042,0.005394
0.006083,0.005784
0.005042,0.005879
0.004833,0.004668
0.005542,0.004897
0.005458,0.005286
0.004292,0.005711
0.004792,0.004650
0.004333,0.004646
0.003917,0.004464
0.003458,0.004051
0.003667,0.003592
0.003708,0.003840
