E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,2,0.4,3,0.591898,0.394994,0.000588,0.001296
10,2,0.4,4,0.645756,0.407304,0.000548,0.001283
10,2,0.4,5,0.708493,0.486019,0.000497,0.001195
10,2,0.4,6,0.731316,0.490929,0.000477,0.001189
10,2,0.4,7,0.698658,0.481549,0.000505,0.001200
10,2,0.4,8,0.735964,0.478996,0.000473,0.001203
10,2,0.4,9,0.746212,0.477929,0.000464,0.001204
10,2,0.4,10,0.805011,0.378700,0.000406,0.001314
10,2,0.5,3,0.501583,0.578520,0.000732,0.001070
10,2,0.5,4,0.571738,0.568060,0.000679,0.001083
10,2,0.5,5,0.601326,0.624640,0.000655,0.001010
10,2,0.5,6,0.652781,0.567341,0.000611,0.001084
10,2,0.5,7,0.676660,0.493706,0.000590,0.001173
10,2,0.5,8,0.692221,0.569600,0.000575,0.001082
10,2,0.5,9,0.711728,0.591238,0.000557,0.001054
10,2,0.5,10,0.736424,0.537172,0.000533,0.001122
10,2,0.6,3,0.499759,0.485419,0.000870,0.000906
10,2,0.6,4,0.569311,0.439886,0.000807,0.000945
10,2,0.6,5,0.585032,0.564134,0.000793,0.000834
10,2,0.6,6,0.637689,0.486411,0.000741,0.000905
10,2,0.6,7,0.662163,0.542677,0.000715,0.000854
10,2,0.6,8,0.627629,0.497476,0.000751,0.000895
10,2,0.6,9,0.666773,0.426423,0.000710,0.000956
10,2,0.6,10,0.677481,0.549883,0.000699,0.000847
