REAL,ESTIMATE
0.010375,0.006919
0.009250,0.008719
0.008500,0.007849
0.008542,0.005463
0.008083,0.006672
0.005250,0.007254
0.006542,0.006363
0.005125,0.005418
0.006292,0.005343
0.006375,0.005564
0.004792,0.005534
0.005417,0.005024
0.004375,0.005419
0.004042,0.004552
0.004083,0.004844
0.006417,0.004572
0.006208,0.005571
0.004333,0.004926
0.002958,0.004899
0.003000,0.004321
0.003500,0.004446
0.004417,0.004445
0.004667,0.004628
0.004958,0.004558
0.004708,0.004768
0.005583,0.004562
0.007333,0.005154
0.008458,0.005525
0.004667,0.005988
0.004833,0.004650
0.006292,0.005232
0.006458,0.005691
0.008000,0.005843
0.008500,0.008281
0.010833,0.010771
0.010333,0.007899
0.009625,0.008117
0.009208,0.007604
0.007958,0.007890
0.007792,0.006754
0.004375,0.006907
0.007500,0.005261
0.010042,0.007072
0.005042,0.006066
0.005625,0.005073
0.004833,0.004874
0.005750,0.005020
0.004917,0.005101
0.004958,0.004784
0.006833,0.004666
0.006375,0.005284
0.004708,0.004689
0.005417,0.004762
0.006958,0.004773
0.007042,0.005397
0.005917,0.005231
0.005167,0.005619
0.006042,0.005752
0.005792,0.006186
0.004458,0.005387
0.008208,0.005529
0.009083,0.006750
0.007250,0.007251
0.006333,0.007253
0.007000,0.006518
0.009833,0.008471
0.007875,0.008735
0.005875,0.007554
0.004292,0.006196
0.005333,0.005926
0.006250,0.005804
0.005958,0.006380
0.004750,0.005793
0.003542,0.005259
0.003708,0.004526
0.003792,0.005049
0.005792,0.004814
0.005250,0.005295
0.004625,0.004507
0.004333,0.004838
0.004625,0.004666
0.005000,0.005260
0.005000,0.004743
0.004875,0.004861
0.005208,0.004669
0.007104,0.005201
0.005625,0.005956
0.004125,0.005387
0.003625,0.004816
0.003583,0.004694
0.004208,0.004615
0.004333,0.004833
0.006667,0.004544
0.006083,0.005245
0.004625,0.004951
0.005208,0.005043
0.003583,0.005229
0.003000,0.004751
0.003125,0.004403
0.003167,0.004315
0.004917,0.004359
0.005042,0.004595
0.003583,0.004409
0.004333,0.004269
0.003458,0.004390
0.004542,0.004168
0.004750,0.004451
0.003333,0.004358
0.004271,0.004195
0.004250,0.004250
0.004375,0.004326
0.005875,0.004397
0.008958,0.004631
0.009458,0.005234
0.004667,0.005700
0.006667,0.004547
0.006875,0.005437
0.006292,0.005564
0.006583,0.005747
0.005792,0.005868
0.004500,0.005577
0.006167,0.004987
0.005875,0.005594
0.005625,0.005519
0.005208,0.005683
0.005292,0.004973
0.008208,0.005318
0.006917,0.007491
0.008500,0.006575
0.007875,0.006399
0.008167,0.006657
0.006833,0.008142
0.005542,0.007067
0.004667,0.006509
0.004292,0.006130
0.004042,0.005281
0.004458,0.005373
0.004583,0.005166
0.004458,0.005162
0.004333,0.004758
0.004333,0.004940
0.004125,0.004873
0.004250,0.004840
0.004333,0.004638
0.005500,0.004749
0.004958,0.004919
0.004958,0.004835
0.005250,0.004826
