E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,2,0.4,3,0.648027,0.213330,0.000879,0.001179
10,2,0.4,4,0.663748,0.219548,0.000859,0.001175
10,2,0.4,5,0.726104,0.264849,0.000775,0.001140
10,2,0.4,6,0.754893,0.150334,0.000733,0.001226
10,2,0.4,7,0.796351,0.089635,0.000668,0.001269
10,2,0.4,8,0.776618,0.075623,0.000700,0.001278
10,2,0.4,9,0.807357,0.108066,0.000650,0.001256
10,2,0.4,10,0.841166,0.038455,0.000590,0.001304
10,2,0.5,3,0.617906,0.223427,0.000953,0.001177
10,2,0.5,4,0.633669,0.227661,0.000933,0.001174
10,2,0.5,5,0.696805,0.283863,0.000849,0.001130
10,2,0.5,6,0.707357,0.215237,0.000834,0.001183
10,2,0.5,7,0.749707,0.236636,0.000771,0.001167
10,2,0.5,8,0.764953,0.209704,0.000747,0.001187
10,2,0.5,9,0.761563,0.189565,0.000752,0.001202
10,2,0.5,10,0.791650,0.201582,0.000703,0.001193
10,2,0.6,3,0.563813,0.076831,0.001080,0.001023
10,2,0.6,4,0.577373,0.088461,0.001063,0.001017
10,2,0.6,5,0.639340,0.150315,0.000982,0.000981
10,2,0.6,6,0.645263,0.055478,0.000974,0.001035
10,2,0.6,7,0.687952,0.056290,0.000913,0.001034
10,2,0.6,8,0.682982,0.066500,0.000920,0.001029
10,2,0.6,9,0.693264,0.051657,0.000905,0.001037
10,2,0.6,10,0.722455,0.062063,0.000861,0.001031
