REAL,ESTIMATE
0.014729,0.013861
0.012542,0.011820
0.012375,0.010271
0.011042,0.007637
0.008708,0.008179
0.007208,0.007656
0.010250,0.008854
0.007667,0.009755
0.008333,0.007487
0.009208,0.010001
0.007458,0.008981
0.006792,0.008738
0.006500,0.007112
0.006083,0.007417
0.006375,0.006556
0.008375,0.007151
0.007750,0.007792
0.006875,0.007275
0.005583,0.007143
0.005625,0.006281
0.006083,0.006603
0.006042,0.006645
0.006500,0.006605
0.006083,0.006805
0.005667,0.006660
0.007417,0.006389
0.010750,0.007231
0.009875,0.008965
0.006583,0.008455
0.006750,0.006736
0.009125,0.007164
0.009292,0.009191
0.011833,0.009240
0.012292,0.011946
0.018125,0.018136
0.015542,0.014023
0.013250,0.013366
0.014583,0.014578
0.011958,0.011983
0.010708,0.008107
0.006625,0.009008
0.012042,0.010894
0.015875,0.016195
0.007417,0.008341
0.008167,0.008146
0.007625,0.007094
0.009292,0.008640
0.006958,0.007031
0.008292,0.007697
0.010083,0.007827
0.008104,0.007732
0.005792,0.006544
0.006375,0.006785
0.008500,0.006567
0.009292,0.006738
0.006833,0.006939
0.006833,0.006921
0.007333,0.007328
0.006667,0.007322
0.005042,0.006851
0.008292,0.006510
0.008792,0.006960
0.008000,0.007926
0.007167,0.008017
0.006667,0.007181
0.010125,0.007562
0.011000,0.010011
0.007958,0.009727
0.006708,0.007551
0.010000,0.007415
0.009125,0.010325
0.013250,0.009490
0.009125,0.010658
0.006208,0.008259
0.007208,0.007150
0.006042,0.008183
0.008958,0.008781
0.010583,0.009000
0.007042,0.008235
0.006792,0.007523
0.008250,0.007270
0.008708,0.009208
0.007375,0.007994
0.011417,0.007709
0.007833,0.008202
0.011792,0.007930
0.008000,0.009269
0.006750,0.008325
0.006292,0.007279
0.006083,0.007375
0.007542,0.006788
0.009375,0.007962
0.012917,0.009527
0.010917,0.010687
0.012875,0.008589
0.010125,0.010529
0.006208,0.008463
0.005458,0.007454
0.005458,0.007388
0.005708,0.007442
0.008500,0.007407
0.009000,0.007701
0.006708,0.007457
0.007708,0.006801
0.006208,0.006981
0.007708,0.006558
0.007417,0.007592
0.006333,0.006810
0.009250,0.007035
0.007333,0.007384
0.005583,0.007342
0.007292,0.006250
0.010208,0.007130
0.010917,0.007960
0.007250,0.009188
0.009875,0.007179
0.012250,0.008901
0.009750,0.012500
0.009958,0.010244
0.007167,0.008408
0.006563,0.008351
0.010250,0.007830
0.009250,0.009903
0.008708,0.010026
0.006917,0.008836
0.007042,0.007230
0.009583,0.008179
0.008875,0.009275
0.010375,0.009970
0.010167,0.008432
0.009833,0.009021
0.008583,0.009294
0.006833,0.008618
0.006250,0.008086
0.005542,0.007614
0.005208,0.006944
0.005875,0.007446
0.008500,0.007336
0.006521,0.007911
0.006625,0.006931
0.006250,0.006988
0.005500,0.006714
0.005833,0.006688
0.006250,0.006519
0.007792,0.006753
0.006875,0.007037
0.007375,0.006786
0.008208,0.006972
0.006083,0.007423
0.006583,0.006673
0.005708,0.006844
0.005375,0.006385
0.005042,0.006393
0.005542,0.005991
0.005792,0.006323
0.006333,0.006202
0.006208,0.006427
0.005417,0.006244
0.005750,0.006072
0.006250,0.006102
0.006500,0.006337
0.006125,0.006464
0.006583,0.006273
0.004958,0.006489
0.004792,0.005929
0.006125,0.005785
0.004875,0.006115
0.004792,0.005619
0.005500,0.005500
0.004958,0.005603
0.005083,0.005522
0.005833,0.005508
0.006083,0.005684
0.005417,0.005877
0.005792,0.005556
0.005333,0.005730
0.005875,0.005576
0.005625,0.005889
0.005042,0.005589
0.004750,0.005540
0.004750,0.005249
0.005667,0.005276
0.005042,0.005517
0.004792,0.005247
0.004542,0.005167
0.004667,0.005085
0.004583,0.005099
0.004792,0.005054
0.005250,0.005091
0.004792,0.005159
0.005000,0.005023
0.005083,0.005088
0.005000,0.005066
0.005167,0.005061
0.004833,0.005056
0.004833,0.004910
0.004917,0.004946
0.004875,0.004879
0.005875,0.004935
0.005375,0.005183
0.004792,0.005046
0.004833,0.004926
0.004833,0.004895
0.005583,0.004965
0.006292,0.005158
0.004833,0.005404
0.005042,0.004968
0.005792,0.005159
0.005375,0.005339
0.004542,0.005339
0.005208,0.004978
0.006000,0.005199
0.005042,0.005440
0.005917,0.005208
0.006417,0.005416
0.005708,0.005725
0.004875,0.005598
0.004583,0.005238
0.004625,0.005209
0.004750,0.005173
0.005250,0.005158
0.005083,0.005278
0.005958,0.005202
0.005958,0.005504
0.006000,0.005490
0.005042,0.005625
0.005667,0.005242
0.006417,0.005595
0.006667,0.005789
0.005917,0.006004
0.005625,0.005679
0.006375,0.005778
0.006417,0.006067
0.005500,0.006165
0.005958,0.005614
0.005125,0.005882
0.006208,0.005497
0.005958,0.006200
0.005958,0.005788
0.005625,0.006177
0.005261,0.005774
0.007114,0.005942
0.007583,0.006462
0.007125,0.006807
0.006542,0.006637
0.005792,0.006518
0.005792,0.006316
0.006500,0.006410
0.006167,0.006540
0.006667,0.006356
0.006917,0.006504
0.005958,0.006685
0.005583,0.006344
0.005854,0.006245
0.006000,0.006307
0.004542,0.006351
0.003833,0.005764
0.003792,0.005466
0.003958,0.005426
0.004750,0.005329
0.004417,0.005407
0.005458,0.005195
0.004583,0.005380
0.003917,0.004985
0.004167,0.004923
0.003833,0.004804
0.004083,0.004724
0.004667,0.004603
0.004625,0.004687
0.005208,0.004578
0.006833,0.004731
0.006667,0.005127
0.005417,0.005180
0.004708,0.004788
0.004417,0.004658
0.005125,0.004592
0.006750,0.004900
0.006500,0.005262
0.005917,0.005360
0.004667,0.005250
