E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,6,0.4,3,0.436532,0.129827,0.000657,0.001913
10,6,0.4,4,0.462650,0.074097,0.000641,0.001973
10,6,0.4,5,0.473669,0.111289,0.000635,0.001933
10,6,0.4,6,0.498003,0.046738,0.000620,0.002002
10,6,0.4,7,0.502574,0.111109,0.000617,0.001933
10,6,0.4,8,0.522105,0.145922,0.000605,0.001895
10,6,0.4,9,0.569726,0.018902,0.000574,0.002031
10,6,0.4,10,0.584681,0.194135,0.000564,0.001841
10,6,0.5,3,0.425991,0.349926,0.000843,0.001604
10,6,0.5,4,0.455917,0.359312,0.000821,0.001592
10,6,0.5,5,0.530599,0.415582,0.000762,0.001521
10,6,0.5,6,0.547242,0.399598,0.000749,0.001541
10,6,0.5,7,0.571019,0.303320,0.000729,0.001660
10,6,0.5,8,0.605053,0.337839,0.000699,0.001619
10,6,0.5,9,0.629950,0.317382,0.000677,0.001644
10,6,0.5,10,0.641108,0.324243,0.000666,0.001635
10,6,0.6,3,0.410295,0.308169,0.001059,0.001337
10,6,0.6,4,0.447322,0.308787,0.001025,0.001337
10,6,0.6,5,0.442394,0.346527,0.001030,0.001300
10,6,0.6,6,0.349712,0.062423,0.001112,0.001557
10,6,0.6,7,0.421959,0.162215,0.001049,0.001472
10,6,0.6,8,0.025893,-8.688607,0.001361,0.005005
10,6,0.6,9,0.486587,0.094383,0.000988,0.001530
10,6,0.6,10,0.557398,-0.018380,0.000918,0.001623
