REAL,ESTIMATE
0.009104,0.008452
0.008000,0.008117
0.007667,0.007742
0.008000,0.006648
0.003417,0.006039
0.008958,0.008148
0.011042,0.010158
0.004250,0.005384
0.004833,0.005963
0.004583,0.005310
0.005875,0.004924
0.005000,0.004730
0.005375,0.004407
0.006542,0.005809
0.004979,0.005021
0.003542,0.004140
0.004167,0.003639
0.006625,0.005659
0.007375,0.006229
0.004500,0.005456
0.003792,0.004731
0.004375,0.004252
0.004000,0.004718
0.003208,0.003901
0.006333,0.003975
0.007125,0.006385
0.005875,0.006689
0.005000,0.005453
0.004542,0.004821
0.006333,0.005987
0.006375,0.005971
0.004042,0.004849
0.002583,0.002724
0.004792,0.003969
0.004458,0.005321
0.005333,0.004409
0.004458,0.004858
0.002292,0.003895
0.003083,0.003051
0.002917,0.003604
0.005542,0.004140
0.005167,0.004162
0.003417,0.004001
0.003083,0.003514
0.003750,0.003960
0.004083,0.005068
0.004083,0.004743
0.004833,0.004284
0.006167,0.005059
0.007646,0.006530
0.005292,0.005937
0.003875,0.004983
0.003542,0.004209
0.003917,0.004297
0.006167,0.004207
0.007292,0.006535
0.008208,0.007600
0.006917,0.007466
0.005500,0.006037
0.005208,0.005157
0.003417,0.004911
0.003000,0.004573
0.003000,0.003942
0.003250,0.004378
0.005292,0.004620
0.006333,0.005225
0.003542,0.005415
0.005625,0.003608
0.003708,0.004957
0.004625,0.005102
0.005375,0.004946
0.003333,0.003681
0.004375,0.004229
0.004333,0.004215
0.003375,0.004834
0.005208,0.004491
0.009375,0.005243
0.008542,0.007264
0.004333,0.006363
0.006750,0.004818
0.009125,0.007137
0.006167,0.007418
0.008125,0.005857
0.004542,0.006801
0.004167,0.005696
0.004583,0.004680
0.006417,0.005276
0.005250,0.005804
0.004708,0.005179
0.004125,0.004964
0.007625,0.004855
0.006542,0.006184
0.007042,0.004626
0.006417,0.005276
0.007167,0.005438
0.005958,0.006264
0.004458,0.005481
0.003375,0.004808
0.003000,0.004181
0.003000,0.004051
0.003250,0.003859
0.004833,0.003908
0.005167,0.004601
0.004375,0.005398
0.003542,0.003763
0.003042,0.004221
0.003083,0.004263
0.004083,0.004237
0.004958,0.004799
0.004833,0.004909
0.005333,0.004987
0.007000,0.005928
0.003958,0.005809
0.003958,0.004360
0.003542,0.003853
0.003125,0.004276
0.003083,0.003752
0.003375,0.004007
0.003667,0.004075
0.005292,0.004740
0.004917,0.005143
0.003625,0.004011
0.004208,0.004377
0.004333,0.004399
0.005667,0.004832
0.005458,0.005607
0.005042,0.005178
0.003000,0.004706
0.003292,0.003722
0.005000,0.004432
0.003417,0.004773
0.003500,0.004559
0.004958,0.003708
0.003792,0.004787
0.003417,0.004447
0.006792,0.004289
0.005958,0.005965
0.005792,0.005413
0.005583,0.005017
0.005292,0.005083
0.006708,0.005462
0.005333,0.006138
0.005292,0.006049
0.005708,0.005592
0.005042,0.005343
0.006750,0.004529
0.004917,0.006318
0.004500,0.005518
0.004000,0.004700
0.004000,0.005020
0.004875,0.004675
0.005417,0.004763
0.005042,0.005605
0.005708,0.005588
0.004625,0.005053
0.006417,0.005527
0.004000,0.004176
0.004000,0.004211
0.004000,0.005097
0.004167,0.004733
0.007208,0.004454
0.005542,0.005883
0.005125,0.005103
0.004417,0.004619
0.004000,0.005225
0.004000,0.004736
0.004458,0.004605
0.005958,0.004802
0.006333,0.005236
0.004167,0.004467
0.004375,0.005113
0.005958,0.005378
0.005083,0.004683
0.004000,0.004797
0.004542,0.004179
0.006750,0.004478
0.004458,0.004444
0.006375,0.004764
0.006917,0.005630
0.005958,0.005856
0.004458,0.004918
0.004000,0.004236
0.004000,0.004287
0.004292,0.004306
0.004958,0.004509
0.004667,0.004559
0.004708,0.004594
0.004917,0.004277
0.004167,0.004442
0.004000,0.004339
0.004625,0.003545
0.005583,0.004823
0.006208,0.004688
0.005125,0.005433
0.005042,0.004900
0.006833,0.004718
0.005417,0.005590
0.005000,0.004570
0.004708,0.004787
0.004042,0.004177
0.005333,0.004174
0.005375,0.005235
0.005458,0.005302
0.005167,0.004837
0.004000,0.004439
0.004458,0.004070
0.005250,0.004513
0.006292,0.005148
0.004375,0.004833
0.004000,0.004445
0.003500,0.004220
0.004333,0.003816
0.004625,0.004274
0.005167,0.004769
0.004792,0.004809
0.003375,0.003966
0.003250,0.003534
0.003750,0.003796
0.004208,0.004226
0.004125,0.004535
0.003167,0.003956
0.003000,0.003723
0.003292,0.003714
0.004208,0.004157
0.004042,0.004486
0.004542,0.004479
0.003833,0.004513
0.003083,0.004061
0.003542,0.003887
0.003333,0.004201
0.003375,0.003783
0.004542,0.004166
0.004458,0.004194
0.004542,0.004274
0.005208,0.004716
0.005333,0.005095
0.004000,0.005079
0.003000,0.004285
0.003000,0.003844
0.004458,0.003909
0.005083,0.004866
0.005458,0.005324
0.005000,0.005412
0.004000,0.004773
0.005000,0.004094
0.005167,0.004947
0.004792,0.005275
0.004208,0.005244
0.003917,0.004805
0.004583,0.004452
0.004750,0.004614
0.004917,0.004873
0.005750,0.005270
0.007125,0.005948
0.005625,0.006254
0.005667,0.005252
0.005708,0.005364
0.005875,0.005725
0.005958,0.006036
0.005271,0.006056
0.004042,0.005330
0.006208,0.004557
0.006208,0.005844
0.007875,0.006158
0.005708,0.007411
0.005250,0.005974
0.006417,0.005736
0.007208,0.006095
0.007000,0.006342
0.005792,0.006361
