E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.4,3,0.412447,0.228347,0.000804,0.001294
10,4,0.4,4,0.453401,0.036116,0.000775,0.001446
10,4,0.4,5,0.434622,0.299347,0.000789,0.001233
10,4,0.4,6,0.509508,0.259690,0.000735,0.001267
10,4,0.4,7,0.564174,0.105864,0.000692,0.001393
10,4,0.4,8,0.624229,0.121539,0.000643,0.001380
10,4,0.4,9,0.645801,-0.001891,0.000624,0.001474
10,4,0.4,10,0.663025,-0.083837,0.000609,0.001533
10,4,0.5,3,0.465754,0.268740,0.000885,0.001212
10,4,0.5,4,0.488684,0.235309,0.000866,0.001239
10,4,0.5,5,0.510811,0.292944,0.000847,0.001191
10,4,0.5,6,0.519943,0.264406,0.000839,0.001215
10,4,0.5,7,0.540990,0.300448,0.000820,0.001185
10,4,0.5,8,0.606939,0.337927,0.000759,0.001153
10,4,0.5,9,0.613447,0.229373,0.000753,0.001244
10,4,0.5,10,0.632509,0.290245,0.000734,0.001194
10,4,0.6,3,0.438205,-0.366614,0.001040,0.001240
10,4,0.6,4,0.524198,0.094436,0.000957,0.001009
10,4,0.6,5,0.530161,0.093158,0.000951,0.001010
10,4,0.6,6,0.562332,0.067896,0.000918,0.001024
10,4,0.6,7,0.590351,0.006722,0.000888,0.001057
10,4,0.6,8,0.515776,-0.024860,0.000965,0.001074
10,4,0.6,9,0.571630,0.058633,0.000908,0.001029
10,4,0.6,10,0.529027,0.159875,0.000952,0.000972
