REAL,ESTIMATE
0.002250,0.003157
0.002875,0.002854
0.001667,0.003139
0.002125,0.002866
0.002875,0.003138
0.002458,0.003036
0.002833,0.003409
0.001875,0.003244
0.005208,0.004271
0.006167,0.004903
0.003417,0.005225
0.002750,0.004049
0.006333,0.004363
0.004958,0.005719
0.006083,0.004912
0.006083,0.006446
0.009083,0.008483
0.009042,0.007217
0.005750,0.006331
0.006542,0.005102
0.005583,0.005558
0.005375,0.005545
0.002833,0.005321
0.006792,0.003489
0.008542,0.005127
0.003708,0.005974
0.003958,0.004224
0.002958,0.003538
0.005458,0.003770
0.005125,0.005269
0.006167,0.004221
0.007667,0.004585
0.006542,0.004509
0.005375,0.005739
0.003917,0.004742
0.007458,0.004291
0.008125,0.006132
0.006333,0.006094
0.004667,0.006176
0.005208,0.004209
0.003167,0.005120
0.001750,0.004366
0.006250,0.003342
0.007958,0.005446
0.007458,0.005244
0.006333,0.005672
0.006042,0.005122
0.007729,0.006022
0.007542,0.006601
0.005208,0.006226
0.002958,0.005078
0.004583,0.003733
0.005396,0.006012
0.007208,0.006837
0.006125,0.006332
0.002875,0.005333
0.001500,0.003860
0.001833,0.003385
0.006958,0.003911
0.004958,0.006672
0.003917,0.004811
0.003417,0.003657
0.004708,0.003513
0.005042,0.004355
0.007125,0.005003
0.006667,0.006239
0.004708,0.005714
0.010375,0.005231
0.008042,0.007319
0.005042,0.006489
0.004042,0.003205
0.004208,0.004647
0.006125,0.005316
0.005250,0.005723
0.008750,0.005287
0.006333,0.007613
0.004458,0.004727
0.006083,0.004173
0.003250,0.004600
0.001958,0.003008
0.002708,0.003549
0.002417,0.003967
0.006083,0.004065
0.005417,0.005329
0.003708,0.004488
0.004000,0.003753
0.002250,0.004027
0.004000,0.003814
0.004542,0.004521
0.002458,0.004322
0.005000,0.003299
0.004292,0.004488
0.002417,0.003841
0.003833,0.003436
0.007792,0.003951
0.009125,0.006688
0.004500,0.005845
0.006167,0.004301
0.005583,0.005282
0.005958,0.005098
0.005917,0.005179
0.004417,0.005554
0.002083,0.004301
0.003654,0.003860
0.005346,0.004489
0.005542,0.005089
0.004042,0.005443
0.003958,0.003303
0.009167,0.003783
0.006833,0.006814
0.007583,0.005783
0.008208,0.006368
0.008958,0.006603
0.006333,0.007018
0.004000,0.006454
0.002875,0.003729
0.001458,0.003959
0.002125,0.003618
0.003125,0.003755
0.003042,0.003789
0.003750,0.003512
0.003042,0.002976
0.002208,0.003586
0.001583,0.002984
0.001667,0.002891
0.003917,0.002944
0.004083,0.004170
0.004917,0.004164
0.006083,0.004235
0.005479,0.004386
0.003917,0.004351
0.003833,0.003569
0.003875,0.003907
0.003167,0.003854
0.002750,0.003859
0.003292,0.003377
0.001917,0.003499
0.004750,0.002764
0.005583,0.004488
0.002792,0.004145
0.002875,0.003307
0.002917,0.002617
0.002167,0.003999
0.004875,0.003296
0.005563,0.004517
0.002042,0.003660
0.003625,0.002978
0.002750,0.003790
0.002875,0.003593
0.001688,0.003725
0.004333,0.002896
0.002792,0.003914
0.002375,0.003057
0.003500,0.002537
0.004458,0.003187
0.004333,0.004251
0.003667,0.003729
0.003833,0.003269
0.002604,0.003897
0.003750,0.003557
0.002875,0.003793
0.003125,0.003268
0.004917,0.003709
0.003833,0.004137
0.003667,0.004120
0.003667,0.003686
0.003833,0.003610
0.003583,0.004389
0.003792,0.003744
0.003917,0.003522
0.002458,0.003617
0.003000,0.003248
0.003833,0.003694
0.003375,0.003727
0.002792,0.003633
0.002208,0.003443
0.003458,0.003149
0.003708,0.003715
0.003500,0.003452
0.003875,0.003575
0.002896,0.003760
0.002542,0.003459
0.003281,0.003134
0.002885,0.003827
0.003417,0.003468
0.004583,0.003580
0.003833,0.003876
0.003833,0.003973
0.002375,0.003861
0.003625,0.003142
0.003708,0.003891
0.002375,0.003951
0.003917,0.003321
0.004042,0.003816
0.004875,0.004133
0.004625,0.004353
0.004708,0.004065
0.004583,0.004261
0.002667,0.004414
0.004708,0.003524
0.003292,0.004368
0.002792,0.003827
0.003667,0.003549
0.004208,0.003687
0.003958,0.004075
0.003042,0.003963
0.002167,0.003707
0.003250,0.003158
0.003958,0.003730
0.004875,0.003985
0.003875,0.004257
0.004958,0.003735
0.003542,0.004174
0.004792,0.003941
0.004250,0.004687
0.003083,0.004166
0.002458,0.003848
0.003500,0.003290
0.003583,0.004027
0.003750,0.003847
0.004146,0.003831
0.004583,0.003901
0.003417,0.004511
0.003542,0.003904
0.003333,0.004013
0.003917,0.003824
0.003375,0.004333
0.002875,0.003704
0.002583,0.003617
0.003042,0.003511
0.003083,0.003551
0.004208,0.003694
0.003083,0.004505
0.003292,0.003578
0.002958,0.003741
0.003500,0.003318
0.004083,0.003871
0.003292,0.004093
0.003917,0.003751
0.003083,0.003839
0.004333,0.003843
0.004917,0.004294
0.003792,0.004844
0.003833,0.003894
0.004292,0.003953
0.003792,0.004130
0.004458,0.004024
0.003208,0.004426
0.003958,0.003725
0.004125,0.004116
0.003958,0.004415
0.004667,0.004199
0.004542,0.004336
0.004875,0.004319
0.004667,0.004720
0.003917,0.004490
0.002500,0.004059
0.003667,0.003439
0.004750,0.003899
0.004792,0.004687
0.004167,0.004607
0.004000,0.004015
0.004833,0.004307
0.005292,0.004740
0.006208,0.004958
0.004417,0.005220
0.004708,0.004352
0.004458,0.004904
0.005292,0.004558
0.005208,0.005100
0.004875,0.005092
0.006750,0.004901
0.005042,0.005986
0.006792,0.005286
