E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,2,0.4,3,0.485714,-0.080279,0.000968,0.001759
10,2,0.4,4,0.575758,0.069388,0.000879,0.001632
10,2,0.4,5,0.599211,0.079446,0.000855,0.001624
10,2,0.4,6,0.620789,0.022622,0.000831,0.001673
10,2,0.4,7,0.655693,0.013102,0.000792,0.001681
10,2,0.4,8,0.691058,0.043392,0.000750,0.001655
10,2,0.4,9,0.688537,-0.017309,0.000753,0.001707
10,2,0.4,10,0.719457,0.006500,0.000715,0.001687
10,2,0.5,3,0.518662,0.088845,0.000996,0.001645
10,2,0.5,4,0.531170,0.058987,0.000983,0.001672
10,2,0.5,5,0.573389,0.042061,0.000938,0.001687
10,2,0.5,6,0.606137,0.025708,0.000901,0.001702
10,2,0.5,7,0.635955,0.009252,0.000866,0.001716
10,2,0.5,8,0.648491,-0.051086,0.000851,0.001767
10,2,0.5,9,0.660344,-0.135664,0.000837,0.001837
10,2,0.5,10,0.689010,-0.208658,0.000801,0.001895
10,2,0.6,3,0.428488,0.215981,0.001257,0.001243
10,2,0.6,4,0.479993,0.264547,0.001199,0.001204
10,2,0.6,5,0.520169,0.258068,0.001152,0.001209
10,2,0.6,6,0.540095,0.207310,0.001128,0.001250
10,2,0.6,7,0.592055,0.091376,0.001062,0.001338
10,2,0.6,8,0.593519,0.157630,0.001060,0.001289
10,2,0.6,9,0.616868,-0.014303,0.001030,0.001414
10,2,0.6,10,0.596657,0.180827,0.001056,0.001271
