REAL,ESTIMATE
0.013542,0.008712
0.011958,0.011567
0.009500,0.009348
0.007667,0.006206
0.005667,0.006110
0.004792,0.006858
0.007875,0.007266
0.005375,0.006865
0.006792,0.006420
0.006958,0.006571
0.005083,0.006635
0.003958,0.005857
0.003792,0.004663
0.004208,0.005754
0.004875,0.005610
0.006875,0.005680
0.005958,0.006857
0.004125,0.005445
0.003000,0.004574
0.003708,0.004352
0.004000,0.005109
0.004125,0.005497
0.003958,0.004736
0.004083,0.004500
0.004208,0.004436
0.005167,0.004300
0.007875,0.004813
0.009042,0.006205
0.004458,0.007045
0.005000,0.004893
0.008833,0.005937
0.008494,0.008525
0.012400,0.012382
0.014960,0.014690
0.017271,0.015324
0.011000,0.011202
0.009333,0.010139
0.008917,0.008124
0.007750,0.007646
0.007833,0.005634
0.002792,0.004115
0.008792,0.008454
0.012417,0.012551
0.004167,0.004721
0.004792,0.004888
0.004458,0.003484
0.006417,0.005881
0.004792,0.003633
0.005625,0.005393
0.007125,0.005127
0.005708,0.004939
0.004208,0.002775
0.005250,0.004829
0.008417,0.004593
0.009292,0.007674
0.006292,0.006581
0.005250,0.006209
0.006458,0.005901
0.005125,0.006298
0.004000,0.004921
0.008292,0.004392
0.009958,0.007523
0.008333,0.007958
0.006917,0.007575
0.006167,0.006619
0.009417,0.006568
0.008583,0.008029
0.005750,0.006386
0.003500,0.002888
0.007042,0.006283
0.007292,0.006946
0.007917,0.007111
0.006708,0.006676
0.003625,0.005144
0.004833,0.004643
0.004167,0.005707
0.007750,0.006534
0.008333,0.007489
0.004625,0.006361
0.004375,0.004931
0.005875,0.005329
0.006417,0.007015
0.006000,0.006805
0.008417,0.004920
0.008521,0.006839
0.009917,0.007633
0.006292,0.008949
0.004583,0.006262
0.004292,0.005206
0.004292,0.005311
0.006760,0.005184
0.006198,0.006686
0.010375,0.009658
0.008583,0.008304
0.008167,0.006303
0.007500,0.007583
0.004083,0.007186
0.003000,0.004935
0.003000,0.004699
0.003458,0.005217
0.007125,0.005565
0.007875,0.006701
0.004250,0.006113
0.006500,0.004647
0.004708,0.005415
0.006208,0.005397
0.006917,0.006212
0.004333,0.006238
0.005875,0.004793
0.005667,0.005349
0.004250,0.005963
0.006583,0.005239
0.010958,0.005884
0.010458,0.008496
0.005542,0.008089
0.009417,0.006494
0.011625,0.010184
0.008125,0.008894
0.010000,0.008245
0.005708,0.006720
0.005000,0.004301
0.005833,0.005617
0.007875,0.007283
0.006917,0.006811
0.005917,0.007296
0.005042,0.004819
0.009125,0.005463
0.008417,0.008032
0.009063,0.008369
0.007833,0.006749
0.008750,0.007011
0.007167,0.008368
0.005292,0.007697
0.003667,0.006187
0.003042,0.004934
0.003000,0.005476
0.004208,0.005222
0.006458,0.006450
0.005792,0.006505
0.005333,0.005329
0.004375,0.004987
0.003417,0.005389
0.003667,0.005100
0.004958,0.004944
0.007042,0.005333
0.005958,0.006331
0.006625,0.005480
0.009292,0.005668
0.005096,0.007083
0.004446,0.005373
0.004500,0.004957
0.003333,0.004896
0.003375,0.004717
0.004333,0.004609
0.004458,0.004746
0.006417,0.004687
0.006875,0.005087
0.004583,0.005631
0.004958,0.004775
0.005583,0.005178
0.007646,0.005312
0.007125,0.007344
0.006375,0.006911
0.004000,0.006161
0.004250,0.004621
0.006542,0.005269
0.004208,0.006352
0.004500,0.004687
0.006250,0.004525
0.004708,0.005549
0.004333,0.005231
0.007792,0.004965
0.007500,0.006613
0.007125,0.006628
0.005792,0.006558
0.005292,0.005710
0.006292,0.006239
0.005458,0.006493
0.004917,0.004963
0.005125,0.004929
0.005333,0.005990
0.006583,0.005501
0.004458,0.006172
0.004583,0.005315
0.003333,0.004963
0.003167,0.004336
0.004625,0.004855
0.005833,0.005393
0.005292,0.005800
0.005792,0.004995
0.004792,0.005469
0.006063,0.005231
0.004000,0.006102
0.003875,0.004772
0.003167,0.004717
0.003542,0.004254
0.006833,0.004759
0.004833,0.005591
0.004792,0.004900
0.003583,0.004703
0.003000,0.004034
0.003042,0.004010
0.003708,0.003957
0.005583,0.004276
0.006208,0.004792
0.003417,0.004983
0.004125,0.003969
0.005667,0.004223
0.004292,0.004844
0.003042,0.004390
0.004000,0.003863
0.005792,0.004524
0.003833,0.004632
0.006000,0.003877
0.006583,0.005576
0.006042,0.005366
0.003958,0.005290
0.003208,0.004253
0.003000,0.004516
0.003833,0.003947
0.004750,0.004169
0.004042,0.004556
0.005458,0.004533
0.005167,0.004667
0.004042,0.004258
0.003583,0.004234
0.004625,0.004326
0.005292,0.004643
0.006417,0.004849
0.005333,0.006016
0.004958,0.005344
0.006750,0.005012
0.005333,0.005823
0.004833,0.005396
0.004625,0.005312
0.004000,0.004989
0.005292,0.004669
0.005583,0.005435
0.005833,0.005614
0.005313,0.005631
0.003917,0.005060
0.004458,0.004699
0.005125,0.005084
0.005625,0.005536
0.004167,0.005499
0.003842,0.004644
0.003470,0.004827
0.004750,0.004510
0.004792,0.005122
0.005250,0.004879
0.005667,0.005145
0.004083,0.005188
0.004000,0.004650
0.004375,0.004639
0.004917,0.004876
0.004958,0.005048
0.003833,0.004953
0.003958,0.004494
0.003958,0.004577
0.005208,0.004178
