E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.4,3,0.492961,0.007007,0.000629,0.001848
10,4,0.4,4,0.574851,0.522650,0.000576,0.001282
10,4,0.4,5,0.638235,0.421127,0.000532,0.001411
10,4,0.4,6,0.671699,0.445867,0.000506,0.001381
10,4,0.4,7,0.622755,0.425763,0.000543,0.001406
10,4,0.4,8,-3.209108,-6.645583,0.001813,0.005129
10,4,0.4,9,0.479170,0.570882,0.000638,0.001215
10,4,0.4,10,0.599778,0.468296,0.000559,0.001353
10,4,0.5,3,0.476447,0.160714,0.000727,0.001714
10,4,0.5,4,0.549077,0.524173,0.000675,0.001290
10,4,0.5,5,0.589797,0.449911,0.000644,0.001387
10,4,0.5,6,0.602955,0.486863,0.000633,0.001340
10,4,0.5,7,0.649727,0.425484,0.000595,0.001418
10,4,0.5,8,-26.725194,-26.443703,0.005291,0.009800
10,4,0.5,9,0.518049,0.529757,0.000698,0.001283
10,4,0.5,10,0.585655,0.435370,0.000647,0.001406
10,4,0.6,3,0.417601,0.165317,0.000872,0.001606
10,4,0.6,4,0.506321,0.630983,0.000803,0.001068
10,4,0.6,5,0.523221,0.634876,0.000789,0.001062
10,4,0.6,6,0.573423,0.628572,0.000746,0.001072
10,4,0.6,7,0.588124,0.542937,0.000733,0.001189
10,4,0.6,8,0.609327,0.529922,0.000714,0.001206
10,4,0.6,9,0.632116,0.552498,0.000693,0.001176
10,4,0.6,10,0.633954,0.519837,0.000691,0.001218
