REAL,ESTIMATE
0.003958,0.005875
0.004375,0.000000
0.004708,0.003821
0.004375,0.000000
0.004667,0.007995
0.004667,0.000000
0.004500,0.001053
0.006042,0.000000
0.007292,0.011893
0.008479,0.009793
0.004208,0.007716
0.004625,0.000000
0.007333,0.002848
0.007000,0.010347
0.008292,0.005889
0.008958,0.000000
0.013167,0.002644
0.012958,0.000000
0.009833,0.000000
0.009417,0.000000
0.008750,0.004971
0.010042,0.000000
0.005208,0.000000
0.009625,0.001257
0.011417,0.000000
0.005146,0.000000
0.005875,0.000000
0.005458,0.005020
0.006292,0.003660
0.005500,0.000000
0.005958,0.000000
0.007000,0.001969
0.006958,0.003662
0.005333,0.000000
0.005333,0.000000
0.006875,0.000000
0.007667,0.002756
0.006625,0.000000
0.005375,0.000000
0.005417,0.000000
0.005958,0.000000
0.004583,0.000000
0.006667,0.000000
0.007958,0.008433
0.007375,0.013511
0.006208,0.000000
0.006792,0.000000
0.008000,0.002882
0.007958,0.012507
0.006125,0.000000
0.004417,0.000000
0.006875,0.005576
0.007000,0.010820
0.007500,0.000000
0.006708,0.000000
0.004375,0.014397
0.004917,0.012922
0.004292,0.008049
0.006667,0.006545
0.006792,0.012869
0.006625,0.020233
0.005792,0.018654
0.006375,0.009128
0.007625,0.010571
0.007125,0.014217
0.007250,0.020892
0.007708,0.011366
0.009125,0.018954
0.008250,0.015712
0.005417,0.019871
0.005125,0.005476
0.004458,0.016005
0.006167,0.015635
0.007583,0.025345
0.008917,0.014275
0.007396,0.011907
0.007375,0.014567
0.006833,0.023806
0.004875,0.016671
0.003958,0.014348
0.003833,0.006812
0.004333,0.013722
0.005708,0.007136
0.006458,0.011106
0.004542,0.003387
0.005833,0.008721
0.004417,0.011132
0.004958,0.007972
0.005667,0.008152
0.004250,0.012161
0.005042,0.010154
0.005583,0.008162
0.004250,0.002214
0.005667,0.000374
0.008417,0.000000
0.008625,0.006699
0.005208,0.006671
0.007208,0.002716
0.009875,0.012274
0.007208,0.006736
0.009167,0.007674
0.006833,0.007288
0.005875,0.013671
0.005917,0.002701
0.006375,0.005921
0.005583,0.000000
0.005708,0.006588
0.005417,0.002603
0.007750,0.008172
0.006042,0.000000
0.007292,0.014630
0.007292,0.010278
0.007542,0.012860
0.006542,0.011065
0.006333,0.011166
0.004625,0.000000
0.004250,0.000000
0.004000,0.000000
0.004375,0.000000
0.005625,0.002923
0.005375,0.014128
0.005500,0.000000
0.005333,0.009684
0.004750,0.009503
0.004792,0.011409
0.004958,0.007875
0.005167,0.006487
0.005375,0.003213
0.005667,0.004997
0.006708,0.000000
0.005458,0.007048
0.005292,0.002188
0.004917,0.008745
0.004625,0.003417
0.004667,0.008565
0.004500,0.008060
0.004792,0.007281
0.006000,0.008647
0.006083,0.009852
0.004917,0.009141
0.004917,0.000846
0.004917,0.001093
0.005625,0.003088
0.005792,0.004273
0.005208,0.000554
0.004583,0.000293
0.004708,0.000000
0.005875,0.002908
0.005167,0.002195
0.005000,0.000000
0.005333,0.000000
0.005167,0.003707
0.005208,0.000000
0.006125,0.000000
0.005167,0.000000
0.005958,0.000000
0.004917,0.004666
0.005083,0.000000
0.005417,0.000000
0.004875,0.000000
0.004625,0.000000
0.005167,0.000000
0.004625,0.000288
0.005750,0.000415
0.004583,0.001407
0.004875,0.000000
0.004792,0.003294
0.004875,0.000000
0.004583,0.002837
0.004458,0.000000
0.005083,0.000000
0.005208,0.000000
0.004583,0.000604
0.005583,0.000000
0.004542,0.000000
0.004708,0.000000
0.004500,0.001356
0.005042,0.000000
0.005458,0.000000
0.005458,0.000000
0.005750,0.003908
0.005167,0.000000
0.004667,0.000000
0.004458,0.000000
0.004875,0.000000
0.005458,0.000000
0.006083,0.000000
0.005042,0.000000
0.005625,0.000000
0.005750,0.000000
0.006417,0.001667
0.004542,0.000000
0.005167,0.000000
0.006125,0.000000
0.005208,0.000000
0.005417,0.000000
0.005792,0.000000
0.006125,0.000000
0.005375,0.004244
0.004500,0.000000
0.004500,0.000000
0.004792,0.000000
0.005708,0.002040
0.005083,0.003108
0.005208,0.000000
0.005583,0.000000
0.005708,0.003423
0.005000,0.002004
0.005292,0.000000
0.005667,0.000000
0.006542,0.008182
0.005667,0.006367
0.005625,0.000000
0.005500,0.000000
0.005583,0.005515
0.005708,0.012072
0.005750,0.000000
0.005292,0.004074
0.005042,0.008544
0.006000,0.007246
0.005875,0.000000
0.006000,0.004490
0.005042,0.011517
0.006042,0.010542
0.006583,0.001518
0.006417,0.007212
0.005870,0.010557
0.005255,0.010324
0.004917,0.000934
0.005875,0.004320
0.005500,0.011274
0.005792,0.006666
0.005375,0.005718
0.005667,0.006534
0.005083,0.012730
0.004875,0.008264
0.005333,0.003378
0.005625,0.005357
0.004792,0.010314
0.004500,0.007412
0.004792,0.002615
0.005500,0.003945
0.005667,0.010916
0.005917,0.005386
0.005500,0.006432
0.004625,0.006265
0.004917,0.008715
0.004708,0.003292
0.004667,0.004601
0.005875,0.006284
0.005167,0.010997
0.005667,0.001735
0.006583,0.003478
0.007000,0.005407
0.005583,0.012106
0.004625,0.002935
0.004438,0.003983
0.005667,0.002081
0.006208,0.010937
0.006458,0.003019
0.006083,0.002514
0.005042,0.003677
0.007301,0.011578
0.007616,0.007007
0.008250,0.002959
0.007583,0.004371
0.005708,0.014201
0.005667,0.007787
0.005167,0.004331
0.006042,0.000847
0.006333,0.008566
0.008167,0.008789
0.006583,0.006600
0.006875,0.004838
0.006708,0.010792
0.007000,0.011952
0.007292,0.010522
0.006250,0.012756
0.005083,0.018791
0.007000,0.010286
0.006792,0.010758
0.008083,0.007435
0.006125,0.014421
0.006333,0.012735
0.007292,0.015470
0.007792,0.011469
0.008083,0.017597
0.006333,0.019505
0.006583,0.020748
0.007208,0.023843
0.006708,0.023109
0.005208,0.016055
0.007042,0.013505
0.006333,0.015262
0.005417,0.022183
0.005333,0.017576
0.005542,0.019687
0.005375,0.019667
0.006208,0.018815
0.006083,0.024232
0.006125,0.021394
0.006125,0.024273
0.007042,0.022119
0.006375,0.016737
0.007333,0.016660
0.008625,0.022244
0.007125,0.021895
0.006875,0.016892
0.006583,0.021257
0.006875,0.023726
0.005979,0.022312
0.006542,0.022962
0.005542,0.022137
0.006208,0.023170
0.007083,0.021161
0.006833,0.021834
0.005792,0.020909
0.006417,0.024527
0.007458,0.026114
0.009542,0.021540
0.006792,0.017705
0.006792,0.021804
0.008208,0.020795
0.008292,0.022798
0.011708,0.017027
0.010333,0.008001
0.007458,0.015027
0.005708,0.025806
0.006125,0.014177
0.006917,0.008873
0.007042,0.018328
0.008583,0.025004
0.006208,0.021335
0.006500,0.007757
0.006667,0.015859
0.008250,0.025381
0.007708,0.019009
0.007958,0.014956
0.007083,0.021173
0.008042,0.026374
0.009042,0.014065
0.008125,0.003656
0.007000,0.017355
0.006667,0.027113
0.006333,0.024739
0.007083,0.002638
