E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.4,3,0.665390,0.246816,0.000581,0.001279
10,3,0.4,4,0.618164,0.098133,0.000621,0.001399
10,3,0.4,5,0.754457,0.161318,0.000498,0.001350
10,3,0.4,6,0.752909,0.239086,0.000499,0.001285
10,3,0.4,7,0.768005,0.256539,0.000484,0.001271
10,3,0.4,8,0.782283,0.223300,0.000469,0.001299
10,3,0.4,9,0.798862,0.181978,0.000451,0.001333
10,3,0.4,10,0.812786,0.176615,0.000435,0.001337
10,3,0.5,3,0.566065,0.249980,0.000800,0.001169
10,3,0.5,4,0.657917,0.271318,0.000710,0.001153
10,3,0.5,5,0.702591,0.279469,0.000662,0.001146
10,3,0.5,6,0.722792,0.256909,0.000640,0.001164
10,3,0.5,7,0.712360,0.273070,0.000651,0.001151
10,3,0.5,8,0.780546,0.148174,0.000569,0.001246
