REAL,ESTIMATE
0.008375,0.007905
0.007292,0.007803
0.007958,0.007215
0.005667,0.007938
0.005375,0.006588
0.005583,0.006618
0.008021,0.006549
0.007667,0.007202
0.005750,0.007119
0.004292,0.006268
0.004333,0.005995
0.005167,0.005376
0.005750,0.005812
0.005958,0.005821
0.005958,0.006003
0.005417,0.006048
0.007125,0.005714
0.009500,0.006915
0.009875,0.009601
0.005625,0.007765
0.005792,0.006071
0.008000,0.006524
0.007750,0.007715
0.009458,0.007594
0.010042,0.008848
0.013042,0.012489
0.013250,0.014032
0.011333,0.011018
0.011042,0.009438
0.009417,0.008280
0.009208,0.007967
0.005542,0.008156
0.009542,0.009031
0.013583,0.013656
0.006750,0.009268
0.007333,0.006949
0.006292,0.007344
0.007833,0.007183
0.006667,0.006941
0.007208,0.007018
0.009833,0.007519
0.008583,0.008427
0.006375,0.008054
0.007500,0.006784
0.009500,0.008819
0.009958,0.008406
0.008167,0.007501
0.005667,0.007031
0.005708,0.005867
0.005917,0.006594
0.004875,0.006047
0.008000,0.005791
0.009583,0.007362
0.008292,0.007525
0.006500,0.006854
0.006917,0.006067
0.009750,0.007702
0.008000,0.008178
0.006333,0.006923
0.004875,0.006328
0.005833,0.006266
0.006271,0.006558
0.006292,0.006410
0.005958,0.006834
0.004792,0.006209
0.005250,0.005465
0.004917,0.005411
0.007542,0.005247
0.006708,0.007077
0.005833,0.006514
0.005667,0.005924
0.006167,0.006526
0.006250,0.006897
0.006500,0.006393
0.006292,0.006112
0.006917,0.005965
0.008750,0.006792
0.007167,0.008616
0.005583,0.006029
0.004958,0.005704
0.005000,0.005742
0.005625,0.005755
0.006125,0.005650
0.009208,0.006340
0.008458,0.008104
0.006250,0.007640
0.006583,0.006497
0.005125,0.006557
0.004625,0.005619
0.004375,0.005115
0.004500,0.004953
0.006708,0.005132
0.007042,0.006335
0.005042,0.006633
0.006125,0.005236
0.004958,0.006623
0.005875,0.005438
0.006458,0.005553
0.004583,0.005606
0.004875,0.005342
0.005000,0.005440
0.004750,0.005552
0.006500,0.005428
0.009542,0.006502
0.009792,0.008688
0.005125,0.007458
0.007125,0.004869
0.006208,0.006598
0.006042,0.005903
0.007042,0.005651
0.006167,0.007168
0.005333,0.006569
0.006083,0.005755
0.006083,0.006376
0.006125,0.005906
0.005667,0.005696
0.005500,0.005646
0.008292,0.005696
0.006792,0.006811
0.008208,0.006831
0.008042,0.007291
0.008292,0.007393
0.007250,0.008755
0.005583,0.007240
0.005208,0.005745
0.004625,0.005085
0.004625,0.004377
0.004708,0.005249
0.004917,0.004837
0.005292,0.005251
0.004792,0.005670
0.004917,0.005526
0.004875,0.005624
0.004750,0.005578
0.005292,0.005365
0.006000,0.005603
0.005583,0.005932
0.005375,0.005756
0.005875,0.005602
0.005167,0.005457
0.005167,0.005184
0.004708,0.004894
0.004500,0.004642
0.004500,0.004519
0.004500,0.004714
0.005000,0.005169
0.005417,0.005192
0.005375,0.005514
0.004875,0.005522
0.005125,0.005270
0.005167,0.005359
0.005208,0.005313
0.004875,0.005250
0.005708,0.005095
0.004708,0.005440
0.004750,0.005023
0.005042,0.005004
0.004792,0.005049
0.004750,0.004932
0.005000,0.004960
0.004958,0.005007
0.004917,0.005066
0.006125,0.005111
0.006292,0.005712
0.005292,0.005629
0.005583,0.005264
0.005250,0.005553
0.005250,0.005280
0.005208,0.005164
0.004708,0.005256
0.004958,0.004998
0.004667,0.005047
0.004958,0.004994
0.005167,0.005126
0.004958,0.005205
0.005000,0.005118
0.005083,0.005203
0.005125,0.005203
0.004833,0.005293
0.005042,0.005209
0.005083,0.005196
0.005000,0.005238
0.004917,0.005105
0.004917,0.005116
0.004708,0.004972
0.004542,0.004849
0.004500,0.004923
0.004500,0.004837
0.004750,0.004896
0.004625,0.005005
0.004458,0.005011
0.004583,0.004986
0.004417,0.004977
0.004583,0.004962
0.004750,0.004934
0.005375,0.004988
0.004708,0.005195
0.004917,0.004940
0.004542,0.005018
0.004583,0.004898
0.004667,0.004896
0.004750,0.004934
0.005250,0.004932
0.005000,0.005077
0.006500,0.005057
0.006375,0.005563
0.005583,0.005497
0.005083,0.005282
0.004958,0.005209
0.004542,0.005157
0.004917,0.004980
0.005208,0.005178
0.004875,0.005235
0.005167,0.005066
0.005042,0.005225
0.005000,0.005201
0.004583,0.005108
0.004917,0.005014
0.005458,0.005202
0.005667,0.005266
0.005083,0.005476
0.005417,0.005296
0.005958,0.005329
0.005167,0.005616
0.004833,0.005151
0.005521,0.005035
0.005125,0.005171
0.004667,0.005027
0.005250,0.004953
0.005603,0.005250
0.005147,0.005383
0.005000,0.005227
0.005000,0.005283
0.005125,0.005217
0.005542,0.005257
0.005292,0.005450
0.004958,0.005253
0.004792,0.005102
0.005167,0.005212
0.004917,0.005261
0.005333,0.005014
0.004917,0.005245
0.005042,0.005132
0.004750,0.005074
0.004667,0.004932
0.005208,0.005042
0.004917,0.005246
0.004667,0.005067
0.004417,0.004991
0.004583,0.004985
0.005000,0.005038
0.004833,0.005081
0.005333,0.005020
0.005375,0.005233
0.004750,0.005245
0.005125,0.004992
0.004667,0.005150
0.004583,0.004983
0.005583,0.004965
0.004958,0.005322
0.005375,0.005040
0.005875,0.005213
0.006125,0.005487
0.005375,0.005519
0.004917,0.005184
0.004583,0.005132
0.005375,0.005072
0.005792,0.005214
0.006292,0.005531
0.006000,0.005652
0.005208,0.005549
0.005500,0.005336
0.006458,0.005375
0.007500,0.005777
0.007000,0.006252
0.006000,0.005959
0.005667,0.005673
0.005458,0.005607
0.005958,0.005604
0.006292,0.005748
0.007458,0.005826
0.007000,0.006537
0.008083,0.006233
0.007167,0.007043
0.007167,0.006428
0.007583,0.006463
0.006167,0.006973
0.004958,0.006052
0.006875,0.005347
0.006958,0.007012
0.008333,0.006791
0.006333,0.007607
0.006292,0.006494
0.007125,0.006090
0.008417,0.006754
0.008458,0.007529
0.006917,0.007766
0.006458,0.006775
0.007667,0.006727
0.006958,0.008223
0.006167,0.007710
0.007792,0.006827
0.006833,0.008385
0.005958,0.006582
0.005542,0.005953
0.005000,0.005862
0.004667,0.005578
0.005875,0.004937
0.006333,0.006239
0.006750,0.006739
0.006125,0.006656
0.007333,0.006430
0.006833,0.007111
0.008208,0.007489
0.008875,0.008083
0.006208,0.008158
0.005417,0.005837
0.005417,0.005752
0.006833,0.006267
0.005875,0.006930
0.006458,0.005779
0.004667,0.006672
0.005958,0.005337
0.007083,0.006129
0.006750,0.006783
0.005583,0.006292
0.007167,0.005855
0.008208,0.007016
0.010250,0.007774
0.006833,0.009174
0.007542,0.007713
0.009458,0.007104
0.009375,0.009914
0.014417,0.010788
0.011042,0.010631
0.007417,0.009532
0.005333,0.007064
0.006250,0.006224
0.008042,0.007133
0.007917,0.008668
0.010417,0.009997
0.006667,0.008518
0.006792,0.007661
0.007333,0.006795
0.008208,0.007699
0.008750,0.007717
0.008292,0.007331
0.007583,0.007995
0.009667,0.008558
0.012500,0.012485
0.010625,0.010485
