E,Tau,Smoothness
9,3,0.390972
9,4,0.415861
9,5,0.425967
9,6,0.439382
9,7,0.443750
10,3,0.448187
10,4,0.472209
10,5,0.488768
10,6,0.493855
10,7,0.496514
11,3,0.502876
11,4,0.494632
11,5,0.518781
11,6,0.488273
11,7,0.511550
000
9,6,-1542171536292888463994916529578791492690554720719104295043072.000000
9,7,-1542883937972663372941833329531518898656841870733682182979584.000000
10,3,-7222251850171938323450316938035268823544482002607111900495872.000000
10,4,-5957947857351554785018844724325123204245341242918715801993216.000000
10,5,-3776879392419042213780840388202894880079470045185602249293824.000000
10,6,-1542705775855114566506526891135904407991342063085517348536320.000000
10,7,-1195596023738636240709643933289651852105222297644096135626752.000000
11,3,-7223501086539011246112391569550587060926092969525625244090368.000000
11,4,-2528952959747836708619136171264810004554488855355899179433984.000000
11,5,-3084699150058945299319856529954737179110040160442713292931072.000000
11,6,-1543240385688493966828080858150447241054065449133811328614400.000000
11,7,-1196079679088045016259453176882213169159808375712767929221120.000000
