E,Tau,Smoothness
6,1,-0.297878
6,2,-0.021846
6,3,-0.050208
6,4,-0.063222
6,5,-0.029671
6,6,-0.028836
6,7,-0.032618
6,8,-0.071812
6,9,-0.076000
6,10,-0.019370
6,11,-0.001194
6,12,0.024341
6,13,0.006586
6,14,0.007017
6,15,0.066588
6,16,0.051663
6,17,0.124625
6,18,0.024176
6,19,0.113616
6,20,0.045526
6,21,0.112266
6,22,-0.031551
6,23,0.096343
6,24,-0.004352
6,25,0.120728
6,26,0.076942
6,27,0.111213
6,28,0.020938
6,29,0.125958
6,30,0.085257
6,31,-0.026490
6,32,0.079618
6,33,0.112224
6,34,0.087710
6,35,-0.008243
6,36,0.060429
6,37,0.003952
6,38,0.087820
6,39,-0.035603
6,40,0.044846
6,41,0.007080
6,42,0.145187
6,43,0.079971
6,44,0.041932
6,45,0.084070
6,46,0.063569
6,47,0.034894
6,48,-0.040735
6,49,0.011560
6,50,0.051908
6,51,-0.022731
6,52,0.031958
6,53,-0.039149
6,54,0.071414
6,55,0.019154
6,56,0.096573
6,57,-0.085371
6,58,-0.023250
6,59,0.083344
6,60,-0.009386
7,1,0.006302
7,2,0.151125
7,3,0.135524
7,4,0.151437
7,5,0.163195
7,6,0.193389
7,7,0.185829
7,8,0.167960
7,9,0.217938
7,10,0.191733
7,11,0.182842
7,12,0.252561
7,13,0.229501
7,14,0.233784
7,15,0.265944
7,16,0.243665
7,17,0.259353
7,18,0.215429
7,19,0.313287
7,20,0.224836
7,21,0.276261
7,22,0.239063
7,23,0.305687
7,24,0.281125
7,25,0.264614
7,26,0.202535
7,27,0.214670
7,28,0.232085
7,29,0.299280
7,30,0.223367
7,31,0.198321
7,32,0.266119
7,33,0.259930
7,34,0.230687
7,35,0.195462
7,36,0.280889
7,37,0.250001
7,38,0.264220
7,39,0.157171
7,40,0.274631
7,41,0.213148
7,42,0.305987
7,43,0.240827
7,44,0.169601
7,45,0.208846
7,46,0.218896
7,47,0.208632
7,48,0.159219
7,49,0.194724
7,50,0.166908
7,51,0.224563
7,52,0.199904
7,53,0.180471
7,54,0.273157
7,55,0.209765
7,56,0.275697
7,57,0.202724
7,58,0.135185
7,59,0.231065
7,60,0.131090
8,1,0.132224
8,2,0.296120
8,3,0.282617
8,4,0.286519
8,5,0.317638
8,6,0.359815
8,7,0.279520
8,8,0.358604
8,9,0.371653
8,10,0.329460
8,11,0.316337
8,12,0.343413
8,13,0.347063
8,14,0.372601
8,15,0.415494
8,16,0.403536
8,17,0.359365
8,18,0.342037
8,19,0.420611
8,20,0.395975
8,21,0.406734
8,22,0.354110
8,23,0.391920
8,24,0.375773
8,25,0.373187
8,26,0.327592
8,27,0.347170
8,28,0.379704
8,29,0.357842
8,30,0.352663
8,31,0.315999
8,32,0.406771
8,33,0.368272
8,34,0.354160
8,35,0.337000
8,36,0.369660
8,37,0.368867
8,38,0.356811
8,39,0.327427
8,40,0.316299
8,41,0.314029
8,42,0.427105
8,43,0.360981
8,44,0.313109
8,45,0.359996
8,46,0.358922
8,47,0.337854
8,48,0.315919
8,49,0.332637
8,50,0.318895
8,51,0.318732
8,52,0.329454
8,53,0.374733
8,54,0.375040
8,55,0.384582
8,56,0.368280
8,57,0.391661
8,58,0.346689
8,59,0.389716
8,60,0.407543
9,1,0.249218
9,2,0.392770
9,3,0.419412
9,4,0.380087
9,5,0.463755
