helloyd yk ek
23.000000 19.865952 3.134048
16.000000 15.986443 0.013557
14.000000 13.992453 0.007547
13.000000 13.471714 -0.471714
11.000000 13.835695 -2.835695
8.000000 12.139711 -4.139711
6.000000 9.660524 -3.660524
11.000000 7.257486 3.742514
8.000000 13.202546 -5.202546
9.000000 11.709256 -2.709256
7.000000 11.288383 -4.288383
23.000000 10.639157 12.360843
30.000000 22.674093 7.325907
31.000000 26.963390 4.036610
21.000000 27.669437 -6.669437
21.000000 18.816319 2.183681
18.000000 19.593359 -1.593359
19.000000 17.833477 1.166523
8.000000 17.078444 -9.078444
4.000000 7.260584 -3.260584
0.000000 3.656816 -3.656816
0.000000 2.144225 -2.144225
3.000000 2.322765 0.677235
9.000000 9.352912 -0.352912
34.000000 20.673374 13.326626
23.000000 26.645416 -3.645416
27.000000 20.647003 6.352997
7.000000 21.748878 -14.748878
18.000000 7.955405 10.044595
11.000000 16.561357 -5.561357
13.000000 12.270501 0.729499
14.000000 10.418206 3.581794
13.000000 14.208971 -1.208971
12.000000 12.340443 -0.340443
14.000000 13.282670 0.717330
39.000000 14.602900 24.397100
54.000000 34.267136 19.732864
30.000000 40.882999 -10.882999
22.000000 23.968513 -1.968513
29.000000 13.690706 15.309294
30.000000 24.869688 5.130312
27.000000 22.269611 4.730389
11.000000 18.538443 -7.538443
12.000000 4.393409 7.606591
5.000000 9.163328 -4.163328
0.000000 5.093450 -5.093450
1.000000 0.399328 0.600672
2.000000 2.990287 -0.990287
6.000000 4.553599 1.446401
11.000000 14.174589 -3.174589
13.000000 21.071745 -8.071745
12.000000 15.326137 -3.326137
15.000000 12.577343 2.422657
18.000000 15.346407 2.653593
20.000000 18.378204 1.621796
19.000000 20.233280 -1.233280
10.000000 18.982342 -8.982342
17.000000 10.814271 6.185729
19.000000 17.378666 1.621334
26.000000 19.229858 6.770142
27.000000 24.647438 2.352562
20.000000 24.009956 -4.009956
18.000000 18.559586 -0.559586
28.000000 17.533607 10.466393
29.000000 26.384861 2.615139
30.000000 26.924068 3.075932
25.000000 25.026440 -0.026440
21.000000 20.740608 0.259392
13.000000 18.427143 -5.427143
4.000000 11.922275 -7.922275
0.000000 2.806217 -2.806217
1.000000 0.543686 0.456314
1.000000 2.270853 -1.270853
4.000000 3.900320 0.099680
9.000000 10.628065 -1.628065
14.000000 20.209515 -6.209515
15.000000 16.424261 -1.424261
15.000000 14.863398 0.136602
16.000000 15.060768 0.939232
13.000000 16.371788 -3.371788
16.000000 14.135130 1.864870
15.000000 16.755127 -1.755127
25.000000 15.814928 9.185072
37.000000 24.082550 12.917450
8.000000 32.462532 -24.462532
15.000000 8.227842 6.772158
19.000000 12.774453 6.225547
14.000000 18.891500 -4.891500
38.000000 12.990726 25.009274
4.000000 29.655281 -25.655281
2.000000 3.759374 -1.759374
2.000000 0.769670 1.230330
0.000000 5.261892 -5.261892
1.000000 0.184708 0.815292
2.000000 6.988319 -4.988319
12.000000 3.107247 8.892753
25.000000 16.327953 8.672047
26.000000 21.616949 4.383051
16.000000 22.706623 -6.706623
9.000000 14.725499 -5.725499
4.000000 9.429783 -5.429783
4.000000 5.062393 -1.062393
11.000000 5.319489 5.680511
9.000000 11.655278 -2.655278
7.000000 11.103710 -4.103710
10.000000 9.513177 0.486823
8.000000 12.840233 -4.840233
32.000000 10.357089 21.642910
28.000000 28.738110 -0.738110
21.000000 25.510952 -4.510952
21.000000 18.807238 2.192762
13.000000 19.302975 -6.302975
11.000000 12.604033 -1.604033
4.000000 11.161170 -7.161170
1.000000 4.018997 -3.018997
0.000000 2.025145 -2.025145
0.000000 3.112412 -3.112412
0.000000 3.899112 -3.899112
5.000000 6.258161 -1.258161
15.000000 13.734593 1.265407
24.000000 18.514660 5.485340
21.000000 20.947895 0.052105
17.000000 18.822210 -1.822210
11.000000 16.047012 -5.047012
7.000000 11.794294 -4.794294
7.000000 8.012753 -1.012753
6.000000 8.336417 -2.336417
13.000000 7.226859 5.773141
8.000000 14.869428 -6.869428
6.000000 12.875639 -6.875639
12.000000 8.159431 3.840569
28.000000 14.551576 13.448424
30.000000 26.331877 3.668123
29.000000 27.268465 1.731535
26.000000 24.740995 1.259005
26.000000 23.533899 2.466101
12.000000 24.321285 -12.321285
14.000000 11.152815 2.847185
3.000000 11.386292 -8.386292
2.000000 3.000091 -1.000091
3.000000 2.074647 0.925353
1.000000 5.333933 -4.333933
1.000000 3.443889 -2.443889
13.000000 6.487396 6.512604
40.000000 25.881104 14.118896
20.000000 30.280066 -10.280066
18.000000 18.483658 -0.483658
8.000000 13.693683 -5.693683
11.000000 9.176209 1.823791
10.000000 9.657866 0.342134
6.000000 11.441558 -5.441558
6.000000 4.860407 1.139593
6.000000 8.283436 -2.283436
5.000000 9.354521 -4.354521
10.000000 8.345025 1.654975
34.000000 14.957135 19.042866
