E,Tau,Smoothness
2,1,-3.435815
2,2,-3.404540
2,3,-3.199648
2,4,-3.270597
2,5,-3.257254
2,6,-3.385677
2,7,-3.328974
2,8,-3.477022
2,9,-3.369871
2,10,-3.291825
2,11,-3.431667
2,12,-3.332138
2,13,-3.334787
2,14,-3.304890
2,15,-3.361111
2,16,-3.295056
2,17,-3.305157
2,18,-3.292761
2,19,-3.393525
2,20,-3.210696
2,21,-3.258833
2,22,-3.169176
2,23,-3.071966
2,24,-3.359519
3,1,-2.814873
3,2,-2.862474
3,3,-2.922821
3,4,-3.018911
3,5,-2.922808
3,6,-2.928499
3,7,-2.953208
3,8,-3.030480
3,9,-2.940082
3,10,-2.910121
3,11,-2.717744
3,12,-2.920050
3,13,-2.987623
3,14,-2.850382
3,15,-2.815915
3,16,-2.894194
3,17,-3.075520
3,18,-2.979561
3,19,-3.040875
3,20,-2.807207
3,21,-3.008231
3,22,-2.786574
3,23,-2.787708
3,24,-2.933838
4,1,-1.931458
4,2,-1.926775
4,3,-1.824989
4,4,-1.787303
4,5,-1.726491
4,6,-1.814151
4,7,-1.742976
4,8,-1.779479
4,9,-1.768733
4,10,-1.670033
4,11,-1.539923
4,12,-1.895330
4,13,-1.878553
4,14,-1.759674
4,15,-1.586294
4,16,-1.802451
4,17,-1.835994
4,18,-1.850407
4,19,-1.867754
4,20,-1.693088
4,21,-1.731064
4,22,-1.699138
4,23,-1.673624
4,24,-1.812643
5,1,-1.077660
5,2,-0.994117
5,3,-0.825580
5,4,-0.863080
5,5,-0.698188
5,6,-0.825910
5,7,-0.821963
5,8,-0.879878
5,9,-0.753915
5,10,-0.742613
5,11,-0.690362
5,12,-0.932319
5,13,-0.862242
5,14,-0.865840
5,15,-0.757948
5,16,-0.834142
5,17,-0.825380
5,18,-0.775188
5,19,-0.804192
5,20,-0.799542
5,21,-0.785313
5,22,-0.779956
5,23,-0.778204
5,24,-0.994401
6,1,-0.562598
6,2,-0.408898
6,3,-0.330105
6,4,-0.257148
6,5,-0.207839
6,6,-0.321875
6,7,-0.253592
6,8,-0.432008
6,9,-0.211969
6,10,-0.250990
6,11,-0.211758
6,12,-0.411974
6,13,-0.341819
6,14,-0.254939
6,15,-0.246515
6,16,-0.300450
6,17,-0.336762
6,18,-0.281589
6,19,-0.250107
6,20,-0.198403
6,21,-0.249819
6,22,-0.259922
6,23,-0.255564
6,24,-0.358038
7,1,-0.232974
7,2,-0.055299
7,3,-0.022973
7,4,0.055740
7,5,0.055491
7,6,-0.030317
7,7,0.014859
7,8,-0.055698
7,9,0.051353
7,10,0.003298
7,11,0.046936
7,12,-0.101908
7,13,-0.024249
7,14,0.037293
7,15,0.044588
7,16,0.002172
7,17,-0.012555
7,18,0.009551
7,19,0.021357
7,20,0.044863
7,21,0.050162
7,22,0.068821
7,23,-0.002372
7,24,-0.076583
8,1,-0.047177
8,2,0.119780
8,3,0.198919
8,4,0.209118
8,5,0.255453
8,6,0.165251
8,7,0.211912
8,8,0.135328
8,9,0.218123
8,10,0.224662
8,11,0.234173
8,12,0.092625
8,13,0.155664
8,14,0.229801
8,15,0.211659
8,16,0.167445
8,17,0.196758
8,18,0.203922
8,19,0.184704
8,20,0.250374
8,21,0.214784
8,22,0.251879
8,23,0.200095
8,24,0.116757
9,1,0.133739
9,2,0.264946
9,3,0.317308
9,4,0.322121
9,5,0.356880
9,6,0.308133
9,7,0.325880
9,8,0.263418
9,9,0.321469
9,10,0.333887
9,11,0.330954
9,12,0.263764
9,13,0.290992
9,14,0.346969
9,15,0.326134
9,16,0.306790
9,17,0.315287
9,18,0.331080
9,19,0.336940
9,20,0.379124
9,21,0.341375
9,22,0.351056
9,23,0.332987
9,24,0.221266
10,1,0.261434
10,2,0.375082
10,3,0.409504
10,4,0.391853
10,5,0.435721
10,6,0.396752
10,7,0.424424
10,8,0.361747
10,9,0.414985
10,10,0.416946
10,11,0.415989
10,12,0.344975
10,13,0.418686
10,14,0.435132
10,15,0.425217
10,16,0.397419
10,17,0.405081
10,18,0.420460
10,19,0.418962
10,20,0.453319
10,21,0.422547
10,22,0.417011
10,23,0.416265
10,24,0.303915
