E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,21,0.7,5,0.492645,0.560696,1.669403,1.117228
10,21,0.7,6,0.495530,0.562195,1.664650,1.115320
10,21,0.7,7,0.497356,0.560946,1.661634,1.116910
10,21,0.7,8,0.502403,0.555578,1.653270,1.123716
10,21,0.7,9,0.502611,0.554153,1.652926,1.125517
10,21,0.7,10,0.514302,0.555133,1.633385,1.124279
10,21,0.7,11,0.517221,0.539849,1.628469,1.143430
10,21,0.7,12,0.520456,0.542628,1.623004,1.139971
10,21,0.7,13,0.519951,0.543497,1.623857,1.138888
10,21,0.7,14,0.531764,0.536326,1.603754,1.147798
10,21,0.7,15,0.532894,0.539479,1.601817,1.143889
10,21,0.8,5,0.506596,0.555437,1.782019,0.919348
10,21,0.8,6,0.509025,0.556391,1.777628,0.918361
10,21,0.8,7,0.510267,0.556068,1.775379,0.918696
10,21,0.8,8,0.514204,0.552213,1.768228,0.922676
10,21,0.8,9,0.514316,0.553428,1.768024,0.921423
10,21,0.8,10,0.524518,0.557602,1.749356,0.917107
10,21,0.8,11,0.525929,0.558086,1.746758,0.916605
10,21,0.8,12,0.528503,0.554082,1.742009,0.920748
10,21,0.8,13,0.526551,0.550381,1.745613,0.924561
10,21,0.8,14,0.534568,0.543656,1.730770,0.931450
10,21,0.8,15,0.538579,0.548634,1.723296,0.926355
10,21,0.9,5,0.509683,0.572784,1.877428,0.696650
10,21,0.9,6,0.510274,0.575109,1.876296,0.694752
10,21,0.9,7,0.511651,0.573680,1.873655,0.695919
10,21,0.9,8,0.518161,0.571582,1.861127,0.697629
10,21,0.9,9,0.520531,0.572898,1.856543,0.696557
10,21,0.9,10,0.526264,0.574131,1.845410,0.695551
10,21,0.9,11,0.526564,0.575106,1.844826,0.694754
10,21,0.9,12,0.527487,0.573462,1.843027,0.696097
10,21,0.9,13,0.527153,0.563963,1.843679,0.703806
10,21,0.9,14,0.532305,0.564304,1.833606,0.703530
10,21,0.9,15,0.536961,0.567476,1.824458,0.700964
