E,Tau,Smoothness
2,1,0.687596
2,2,0.157204
2,3,0.733087
2,4,0.725033
2,5,0.738079
2,6,0.678795
2,7,0.739638
2,8,0.605052
2,9,0.594109
2,10,0.226464
2,11,0.211545
2,12,0.703449
2,13,0.192249
2,14,0.197800
2,15,0.204855
2,16,0.592767
2,17,0.742573
2,18,0.164510
2,19,0.644106
2,20,0.726660
2,21,0.683428
2,22,0.711237
2,23,0.733118
2,24,0.682077
3,1,0.735780
3,2,0.727586
3,3,0.721110
3,4,0.612868
3,5,0.301448
3,6,0.650414
3,7,0.259951
3,8,0.517139
3,9,0.302622
3,10,0.725610
3,11,0.712843
3,12,0.682457
3,13,0.713262
3,14,0.697198
3,15,0.515625
3,16,-0.806571
3,17,-0.828235
3,18,-0.781687
3,19,0.670862
3,20,0.253508
3,21,0.683288
3,22,0.714510
3,23,0.679957
3,24,0.223943
4,1,0.753193
4,2,0.723023
4,3,0.656163
4,4,0.556868
4,5,0.382267
4,6,0.391060
4,7,0.728453
4,8,0.693337
4,9,0.692561
4,10,0.666413
4,11,0.153435
4,12,0.413205
4,13,0.116821
4,14,0.711238
4,15,0.751324
4,16,0.664488
4,17,0.739409
4,18,0.655273
4,19,0.742908
4,20,0.340209
4,21,0.337602
4,22,0.690406
4,23,0.719262
4,24,0.740390
5,1,0.737489
5,2,0.547786
5,3,0.351849
5,4,0.349193
5,5,0.715754
5,6,0.716121
5,7,0.461861
5,8,0.463309
5,9,0.420972
5,10,0.409243
5,11,0.685283
5,12,0.748565
5,13,0.728091
5,14,0.739582
5,15,0.738662
5,16,0.713523
5,17,0.741208
5,18,0.717524
5,19,0.726708
5,20,0.731689
5,21,0.555855
5,22,0.262088
5,23,0.712180
5,24,0.736307
6,1,0.739409
6,2,0.390148
6,3,0.360049
6,4,0.690414
6,5,0.671414
6,6,0.511910
6,7,0.677054
6,8,0.743371
6,9,0.738782
6,10,0.727461
6,11,0.724546
6,12,0.727313
6,13,0.745657
6,14,0.734673
6,15,0.745875
6,16,0.699416
6,17,0.492324
6,18,0.658363
6,19,0.719314
6,20,0.721700
6,21,0.118388
6,22,0.395629
6,23,0.701492
6,24,0.324123
7,1,0.563410
7,2,0.622352
7,3,0.605242
7,4,0.714204
7,5,0.556203
7,6,0.529496
7,7,0.729617
7,8,0.711182
7,9,0.692012
7,10,0.509099
7,11,0.694382
7,12,0.719469
7,13,0.722333
7,14,0.598517
7,15,0.669597
7,16,0.611367
7,17,0.492898
7,18,0.612707
7,19,0.667770
7,20,0.645873
7,21,0.684460
7,22,0.334964
7,23,0.731805
7,24,0.717744
8,1,0.677431
8,2,0.683279
8,3,0.732090
8,4,0.716662
8,5,0.347488
8,6,0.725382
8,7,0.742925
8,8,0.717484
8,9,0.548857
8,10,0.713480
8,11,0.735536
8,12,0.494223
8,13,0.711969
8,14,0.555459
8,15,0.520954
8,16,0.710734
8,17,0.725324
8,18,0.670305
8,19,0.626849
8,20,0.720924
8,21,0.702982
8,22,0.735902
8,23,0.725649
8,24,0.735430
9,1,0.405547
9,2,0.692330
9,3,0.735242
9,4,0.691755
9,5,0.511648
9,6,0.667810
9,7,0.741962
9,8,0.684691
9,9,0.677051
9,10,0.681490
9,11,0.710756
9,12,0.701504
9,13,0.661482
9,14,0.709993
9,15,0.592919
9,16,0.514501
9,17,0.735423
9,18,0.616969
9,19,0.725750
9,20,0.551686
9,21,0.731696
9,22,0.320404
9,23,0.507655
9,24,0.746205
10,1,0.476373
10,2,0.722796
10,3,0.327487
10,4,0.713457
10,5,0.665145
10,6,0.704325
10,7,0.692327
10,8,0.698627
10,9,0.679297
10,10,0.589393
10,11,0.649847
10,12,0.667720
10,13,0.687684
10,14,0.666187
10,15,0.710560
10,16,0.713990
10,17,0.612221
10,18,0.683938
10,19,0.689174
10,20,0.606525
10,21,0.568322
10,22,0.697205
10,23,0.697032
10,24,0.769372
